size,original_sorting,time
1000000,"normal(0,1)",0.296875
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.296875
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.296875
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"normal(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.296875
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.296875
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.296875
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.28125
1000000,"uniform(0,1)",0.296875
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.296875
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.296875
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.265625
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.296875
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.28125
1000000,"gamma(1,1)",0.296875
1000000,"gamma(1,1)",0.28125
1000000,sorted,0.0
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.015625
1000000,sorted,0.0
1000000,sorted,0.0
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
1000000,reversed,0.015625
1000000,reversed,0.015625
1000000,reversed,0.0
2000000,"normal(0,1)",0.671875
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.640625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.671875
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.640625
2000000,"normal(0,1)",0.65625
2000000,"normal(0,1)",0.65625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.640625
2000000,"uniform(0,1)",0.671875
2000000,"uniform(0,1)",0.640625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.640625
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.671875
2000000,"uniform(0,1)",0.640625
2000000,"uniform(0,1)",0.671875
2000000,"uniform(0,1)",0.6875
2000000,"uniform(0,1)",0.6875
2000000,"uniform(0,1)",0.6875
2000000,"uniform(0,1)",0.6875
2000000,"uniform(0,1)",0.671875
2000000,"uniform(0,1)",0.65625
2000000,"uniform(0,1)",0.65625
